job_id,family,task,variant,replicate,model_id,harness_id,max_iterations,submitted_iterations,structured_claims,unique_structured_claims,primary_recovered,primary_iteration,strict_recovered,strict_iteration,recovery_at_95,recovery_at_exact_membership,capped_iterations
job_0026,clinical,breast,named,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,20,20,False,,False,,False,False,25
job_0027,depmap,depmap,named,1,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,19,19,False,,False,,False,False,10
job_0028,clinical,prostate,anonymized,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,16,16,True,7.0,True,7.0,True,True,7
job_0029,clinical,aml,named,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,3,11,11,False,,False,,False,False,25
job_0030,depmap,depmap,anonymized,18,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,10,10,False,,False,,False,False,10
job_0031,clinical,aml,named,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,15,False,,False,,False,False,25
job_0032,depmap,depmap,anonymized,1,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,14,14,False,,False,,False,False,10
job_0033,clinical,breast,anonymized,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,13,12,False,,False,,False,False,25
job_0034,clinical,crc,anonymized,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,9,18,16,False,,False,,False,False,25
job_0035,clinical,aml,named,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,16,16,False,,False,,False,False,25
job_0036,clinical,nsclc,named,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,15,14,False,,False,,False,False,25
job_0037,clinical,breast,anonymized,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,11,False,,False,,False,False,25
job_0038,clinical,breast,named,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,15,15,15,False,,False,,False,False,25
job_0039,clinical,breast,named,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,20,20,False,,False,,False,False,25
job_0040,clinical,crc,named,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,24,22,False,,False,,False,False,25
job_0041,clinical,nsclc,anonymized,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,10,10,False,,False,,False,False,25
job_0042,clinical,nsclc,named,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,15,14,False,,False,,False,False,25
job_0043,clinical,breast,anonymized,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,12,False,,False,,False,False,25
job_0044,clinical,prostate,named,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,12,False,,False,,False,False,25
job_0045,clinical,prostate,anonymized,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,13,False,,False,,False,False,25
job_0046,clinical,breast,anonymized,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,8,8,False,,False,,False,False,25
job_0047,clinical,breast,anonymized,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,8,8,False,,False,,False,False,25
job_0048,clinical,crc,anonymized,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,12,12,False,,False,,False,False,25
job_0049,depmap,depmap,named,13,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,11,11,False,,False,,False,False,10
job_0050,clinical,breast,named,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,17,17,False,,False,,False,False,25
job_0051,clinical,prostate,named,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,16,False,,False,,False,False,25
job_0052,clinical,crc,named,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,19,16,False,,False,,False,False,25
job_0053,clinical,breast,anonymized,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,9,18,17,False,,False,,False,False,25
job_0054,clinical,crc,named,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,13,False,,False,,False,False,25
job_0055,clinical,aml,anonymized,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,17,16,False,,False,,False,False,25
job_0056,clinical,crc,anonymized,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,15,False,,False,,False,False,25
job_0057,depmap,depmap,anonymized,11,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,19,19,False,,False,,False,False,10
job_0058,depmap,depmap,named,5,gpt-5.6-luna,chatgpt-work-structured-v1,10,5,25,22,False,,False,,False,False,10
job_0059,clinical,breast,anonymized,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,25,25,25,False,,False,,False,False,25
job_0060,clinical,prostate,named,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,13,13,False,,False,,False,False,25
job_0061,clinical,prostate,anonymized,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,12,False,,False,,False,False,25
job_0062,clinical,nsclc,named,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,20,20,False,,False,,False,False,25
job_0063,clinical,prostate,anonymized,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
job_0064,clinical,nsclc,named,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,30,27,False,,False,,False,False,25
job_0065,depmap,depmap,anonymized,10,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,30,False,,False,,False,False,10
job_0066,depmap,depmap,named,2,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,20,20,False,,False,,False,False,10
job_0067,clinical,aml,named,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,21,20,False,,False,,False,False,25
job_0068,clinical,breast,named,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,11,11,11,False,,False,,False,False,25
job_0069,clinical,breast,anonymized,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,11,8,False,,False,,False,False,25
job_0070,clinical,prostate,named,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,15,True,5.0,True,5.0,True,True,5
job_0071,depmap,depmap,named,22,gpt-5.6-luna,chatgpt-work-structured-v1,10,4,30,30,False,,False,,False,False,10
job_0072,depmap,depmap,named,21,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,30,False,,False,,False,False,10
job_0073,clinical,aml,named,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,24,24,False,,False,,False,False,25
job_0074,clinical,aml,named,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,27,23,False,,False,,False,False,25
job_0075,clinical,prostate,anonymized,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,19,17,False,,False,,False,False,25
job_0076,depmap,depmap,named,16,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,25,False,,False,,False,False,10
job_0077,clinical,prostate,anonymized,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,8,8,False,,False,,False,False,25
job_0078,clinical,aml,anonymized,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,13,13,False,,False,,False,False,25
job_0079,clinical,breast,named,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,14,False,,False,,False,False,25
job_0080,clinical,crc,anonymized,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,14,14,False,,False,,False,False,25
job_0081,clinical,crc,named,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,9,27,24,False,,False,,False,False,25
job_0082,clinical,crc,anonymized,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,13,12,False,,False,,False,False,25
job_0083,clinical,breast,anonymized,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
job_0084,clinical,prostate,anonymized,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,9,9,False,,False,,False,False,25
job_0085,clinical,crc,anonymized,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,16,16,16,False,,False,,False,False,25
job_0086,clinical,crc,anonymized,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,18,14,False,,False,,False,False,25
job_0087,clinical,breast,anonymized,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,10,10,False,,False,,False,False,25
job_0088,clinical,aml,anonymized,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,16,False,,False,,False,False,25
job_0089,clinical,breast,named,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,15,False,,False,,False,False,25
job_0090,clinical,breast,anonymized,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,11,False,,False,,False,False,25
job_0091,clinical,breast,anonymized,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,10,10,False,,False,,False,False,25
job_0092,depmap,depmap,anonymized,12,gpt-5.6-luna,chatgpt-work-structured-v1,10,4,40,27,False,,False,,False,False,10
job_0093,clinical,crc,anonymized,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,13,False,,False,,False,False,25
job_0094,clinical,aml,named,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,22,21,True,4.0,True,4.0,True,True,4
job_0095,depmap,depmap,anonymized,7,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,10,10,False,,False,,False,False,10
job_0096,clinical,prostate,named,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,12,12,False,,False,,False,False,25
job_0097,clinical,aml,anonymized,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
job_0098,clinical,prostate,named,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,14,14,False,,False,,False,False,25
job_0099,clinical,prostate,named,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,24,21,False,,False,,False,False,25
job_0100,clinical,crc,anonymized,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,11,False,,False,,False,False,25
job_0101,clinical,nsclc,anonymized,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,14,False,,False,,False,False,25
job_0102,clinical,prostate,named,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,16,15,False,,False,,False,False,25
job_0103,clinical,aml,anonymized,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,11,9,False,,False,,False,False,25
job_0104,clinical,nsclc,anonymized,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,13,False,,False,,False,False,25
job_0105,clinical,crc,anonymized,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,16,16,False,,False,,False,False,25
job_0106,clinical,aml,named,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,24,22,False,,False,,False,False,25
job_0107,depmap,depmap,named,18,gpt-5.6-luna,chatgpt-work-structured-v1,10,2,20,20,False,,False,,False,False,10
job_0108,clinical,breast,named,4,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,20,17,False,,False,,False,False,25
job_0109,clinical,prostate,anonymized,4,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,16,13,True,5.0,True,5.0,True,True,5
job_0110,clinical,breast,named,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,19,19,False,,False,,False,False,25
job_0111,clinical,aml,anonymized,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,11,10,False,,False,,False,False,25
job_0112,clinical,nsclc,named,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
job_0113,clinical,prostate,named,4,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,18,18,False,,False,,False,False,25
job_0114,depmap,depmap,anonymized,5,gpt-5.6-luna,chatgpt-work-structured-v1,10,4,25,21,False,,False,,False,False,10
job_0115,clinical,breast,anonymized,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,8,7,False,,False,,False,False,25
job_0116,clinical,nsclc,named,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,17,16,False,,False,,False,False,25
job_0117,depmap,depmap,anonymized,3,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,10,10,False,,False,,False,False,10
job_0118,clinical,crc,named,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,15,False,,False,,False,False,25
job_0119,clinical,crc,anonymized,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,12,False,,False,,False,False,25
job_0120,clinical,prostate,named,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,21,19,True,5.0,True,5.0,True,True,5
job_0121,clinical,crc,named,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,17,15,False,,False,,False,False,25
job_0122,clinical,breast,named,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,26,26,False,,False,,False,False,25
job_0123,depmap,depmap,anonymized,17,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,10,10,False,,False,,False,False,10
job_0124,clinical,nsclc,named,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,15,15,False,,False,,False,False,25
job_0125,clinical,nsclc,anonymized,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,9,8,False,,False,,False,False,25
job_0126,clinical,nsclc,named,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,11,11,False,,False,,False,False,25
job_0127,clinical,aml,anonymized,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,15,False,,False,,False,False,25
job_0128,clinical,breast,named,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,22,22,False,,False,,False,False,25
job_0129,clinical,prostate,named,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,12,32,27,False,,False,,False,False,25
job_0130,clinical,aml,anonymized,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,21,19,False,,False,,False,False,25
job_0131,clinical,breast,named,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,26,24,False,,False,,False,False,25
job_0132,clinical,aml,anonymized,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,14,12,False,,False,,False,False,25
job_0133,clinical,nsclc,named,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,24,21,False,,False,,False,False,25
job_0134,clinical,aml,named,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
job_0135,clinical,aml,anonymized,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,15,False,,False,,False,False,25
job_0136,clinical,nsclc,named,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,25,25,25,False,,False,,False,False,25
job_0137,depmap,depmap,named,19,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,41,32,False,,False,,False,False,10
job_0138,clinical,prostate,anonymized,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,21,21,False,,False,,False,False,25
job_0139,depmap,depmap,named,7,gpt-5.6-luna,chatgpt-work-structured-v1,10,4,23,20,False,,False,,False,False,10
job_0140,clinical,aml,anonymized,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,10,10,False,,False,,False,False,25
job_0141,depmap,depmap,named,25,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,20,20,False,,False,,False,False,10
job_0142,clinical,nsclc,anonymized,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,14,False,,False,,False,False,25
job_0143,clinical,prostate,anonymized,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,14,False,,False,,False,False,25
job_0144,clinical,nsclc,anonymized,10,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,17,14,False,,False,,False,False,25
job_0145,clinical,crc,named,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,16,16,False,,False,,False,False,25
job_0146,clinical,breast,anonymized,4,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,19,17,False,,False,,False,False,25
job_0147,clinical,aml,named,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,15,15,False,,False,,False,False,25
job_0148,clinical,aml,anonymized,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,12,11,False,,False,,False,False,25
job_0149,depmap,depmap,named,24,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,22,False,,False,,False,False,10
job_0150,clinical,breast,anonymized,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,14,14,False,,False,,False,False,25
job_0151,clinical,aml,named,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,24,23,False,,False,,False,False,25
job_0152,depmap,depmap,named,12,gpt-5.6-luna,chatgpt-work-structured-v1,10,2,20,20,False,,False,,False,False,10
job_0153,depmap,depmap,anonymized,4,gpt-5.6-luna,chatgpt-work-structured-v1,10,2,20,20,False,,False,,False,False,10
job_0154,clinical,breast,anonymized,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,17,False,,False,,False,False,25
job_0155,clinical,crc,named,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,14,13,False,,False,,False,False,25
job_0156,depmap,depmap,anonymized,13,gpt-5.6-luna,chatgpt-work-structured-v1,10,5,27,23,False,,False,,False,False,10
job_0157,clinical,prostate,named,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,18,False,,False,,False,False,25
job_0158,clinical,aml,anonymized,14,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,17,False,,False,,False,False,25
job_0159,clinical,prostate,anonymized,1,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,20,20,True,7.0,True,7.0,True,True,7
job_0160,clinical,aml,anonymized,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,12,10,False,,False,,False,False,25
job_0161,clinical,aml,named,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,20,20,False,,False,,False,False,25
job_0162,clinical,aml,named,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,9,18,18,False,,False,,False,False,25
job_0163,clinical,crc,anonymized,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,16,False,,False,,False,False,25
job_0164,clinical,crc,anonymized,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,3,14,14,False,,False,,False,False,25
job_0165,depmap,depmap,named,20,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,20,20,False,,False,,False,False,10
job_0166,clinical,crc,anonymized,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,15,15,False,,False,,False,False,25
job_0167,clinical,crc,anonymized,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,11,9,False,,False,,False,False,25
job_0168,depmap,depmap,anonymized,25,gpt-5.6-luna,chatgpt-work-structured-v1,10,5,40,30,False,,False,,False,False,10
job_0169,depmap,depmap,named,9,gpt-5.6-luna,chatgpt-work-structured-v1,10,5,22,22,False,,False,,False,False,10
job_0170,clinical,crc,anonymized,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,7,18,16,False,,False,,False,False,25
job_0171,clinical,prostate,anonymized,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,12,10,False,,False,,False,False,25
job_0172,depmap,depmap,named,11,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,20,False,,False,,False,False,10
job_0173,clinical,breast,named,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,17,False,,False,,False,False,25
job_0174,depmap,depmap,anonymized,15,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,20,20,False,,False,,False,False,10
job_0175,clinical,crc,named,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,28,26,False,,False,,False,False,25
job_0176,clinical,nsclc,named,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,22,22,False,,False,,False,False,25
job_0177,clinical,crc,named,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,17,False,,False,,False,False,25
job_0178,clinical,nsclc,anonymized,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,12,23,23,False,,False,,False,False,25
job_0179,clinical,nsclc,named,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,18,False,,False,,False,False,25
job_0180,clinical,crc,named,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,19,17,True,5.0,False,,False,False,5
job_0181,clinical,nsclc,anonymized,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,18,False,,False,,False,False,25
job_0182,clinical,crc,named,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,16,True,5.0,False,,False,False,5
job_0183,depmap,depmap,named,4,gpt-5.6-luna,chatgpt-work-structured-v1,10,4,30,30,False,,False,,False,False,10
job_0184,clinical,breast,anonymized,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,12,False,,False,,False,False,25
job_0185,clinical,breast,named,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,17,16,False,,False,,False,False,25
job_0186,clinical,crc,named,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,17,False,,False,,False,False,25
job_0187,clinical,nsclc,anonymized,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,13,False,,False,,False,False,25
job_0188,clinical,breast,named,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,15,14,False,,False,,False,False,25
job_0189,clinical,prostate,named,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,15,15,False,,False,,False,False,25
job_0190,clinical,prostate,anonymized,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,17,15,False,,False,,False,False,25
job_0191,clinical,crc,named,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,22,21,False,,False,,False,False,25
job_0192,clinical,nsclc,named,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,18,False,,False,,False,False,25
job_0193,clinical,crc,named,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,13,13,False,,False,,False,False,25
job_0194,clinical,aml,named,11,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,14,False,,False,,False,False,25
job_0195,clinical,aml,named,5,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,16,False,,False,,False,False,25
job_0196,clinical,nsclc,anonymized,13,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,13,11,False,,False,,False,False,25
job_0197,clinical,crc,anonymized,15,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,10,6,False,,False,,False,False,25
job_0198,clinical,prostate,named,19,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,20,17,False,,False,,False,False,25
job_0199,clinical,breast,named,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,16,16,False,,False,,False,False,25
job_0200,clinical,nsclc,anonymized,8,gpt-5.6-luna,chatgpt-work-structured-v1,25,25,25,25,False,,False,,False,False,25
job_0201,clinical,prostate,named,17,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,18,17,True,7.0,True,7.0,True,True,7
job_0202,clinical,nsclc,named,12,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
job_0203,depmap,depmap,named,15,gpt-5.6-luna,chatgpt-work-structured-v1,10,4,40,30,False,,False,,False,False,10
job_0204,depmap,depmap,anonymized,23,gpt-5.6-luna,chatgpt-work-structured-v1,10,10,20,20,False,,False,,False,False,10
job_0205,clinical,breast,named,20,gpt-5.6-luna,chatgpt-work-structured-v1,25,6,21,21,False,,False,,False,False,25
job_0206,clinical,nsclc,anonymized,7,gpt-5.6-luna,chatgpt-work-structured-v1,25,4,12,10,False,,False,,False,False,25
job_0207,depmap,depmap,anonymized,21,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,30,False,,False,,False,False,10
job_0208,clinical,aml,anonymized,9,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,14,False,,False,,False,False,25
job_0209,clinical,aml,anonymized,4,gpt-5.6-luna,chatgpt-work-structured-v1,25,3,7,7,False,,False,,False,False,25
job_0210,clinical,crc,named,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,18,16,False,,False,,False,False,25
job_0211,clinical,nsclc,anonymized,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,8,16,16,False,,False,,False,False,25
job_0212,depmap,depmap,anonymized,22,gpt-5.6-luna,chatgpt-work-structured-v1,10,3,30,30,False,,False,,False,False,10
job_0213,clinical,prostate,anonymized,16,gpt-5.6-luna,chatgpt-work-structured-v1,25,3,12,12,True,3.0,True,3.0,True,True,3
job_0214,clinical,nsclc,named,2,gpt-5.6-luna,chatgpt-work-structured-v1,25,9,21,21,False,,False,,False,False,25
job_0215,clinical,aml,named,3,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,14,14,False,,False,,False,False,25
job_0216,clinical,aml,anonymized,6,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
job_0217,clinical,breast,named,18,gpt-5.6-luna,chatgpt-work-structured-v1,25,5,16,16,False,,False,,False,False,25
